#,תאריך,יום,עיר,ישנים ב,מספר אישור,PIN
1,27 אוג,חמישי,טוקיו,GINZA HOTEL by GRANBELL,5102028994,6634
2,28 אוג,שישי,טוקיו,GINZA HOTEL by GRANBELL,5102028994,6634
3,29 אוג,שבת,טוקיו,GINZA HOTEL by GRANBELL,5102028994,6634
4,30 אוג,ראשון,טוקיו,GINZA HOTEL by GRANBELL,5102028994,6634
5,31 אוג,שני,טוקיו,GINZA HOTEL by GRANBELL,5102028994,6634
6,1 ספט,שלישי,טוקיו,GINZA HOTEL by GRANBELL,5102028994,6634
7,2 ספט,רביעי,האקונה,Gora Kansuiro,5981863965,
8,3 ספט,חמישי,מצומוטו,Matsumoto Jujo,3350-3129-4462,
9,4 ספט,שישי,קאמיקוצ'י,Wanosato,6286847477,2615
10,5 ספט,שבת,קנאזאווה,Hotel Kanazawa Zoushi,5607184935,3130
11,6 ספט,ראשון,קנאזאווה,Hotel Kanazawa Zoushi,5607184935,3130
12,7 ספט,שני,קיוטו,Ace Hotel Kyoto,6501190822,4746
13,8 ספט,שלישי,קיוטו,Ace Hotel Kyoto,6501190822,4746
14,9 ספט,רביעי,קיוטו,Ace Hotel Kyoto,6501190822,4746
15,10 ספט,חמישי,קיוטו,Ace Hotel Kyoto,6501190822,4746
16,11 ספט,שישי,קוראשיקי,Nagi Kurashiki Hotel & Lounge,6993399611,6399
17,12 ספט,שבת,נאושימה,SANAMANE,349,
18,13 ספט,ראשון,נאושימה,SANAMANE,349,
19,14 ספט,שני,אוסקה,HOTEL THE LEBEN OSAKA,5788785023,7879
20,15 ספט,שלישי,אוסקה,HOTEL THE LEBEN OSAKA,5788785023,7879
21,16 ספט,רביעי,טיסה,טיסת לילה לתאילנד,,
22,17 ספט,חמישי,קו סמוי,Six Senses Samui,6175859786,4295
23,18 ספט,שישי,קו סמוי,Six Senses Samui,6175859786,4295
24,19 ספט,שבת,קו סמוי,Six Senses Samui,6175859786,4295
25,20 ספט,ראשון,קו פנגן,Kupu Kupu Phangan Beach Villas & Spa,28157,
26,21 ספט,שני,קו פנגן,Kupu Kupu Phangan Beach Villas & Spa,28157,
27,22 ספט,שלישי,קו פנגן,Kupu Kupu Phangan Beach Villas & Spa,28157,
28,23 ספט,רביעי,קו פנגן,Kupu Kupu Phangan Beach Villas & Spa,28157,
29,24 ספט,חמישי,קו פנגן,Kupu Kupu Phangan Beach Villas & Spa,28157,
30,25 ספט,שישי,קו טאו,Haadtien Beach Resort,5999527797,2288
31,26 ספט,שבת,קו טאו,Haadtien Beach Resort,5999527797,2288
32,27 ספט,ראשון,קו טאו,Haadtien Beach Resort,5999527797,2288
33,28 ספט,שני,בנגקוק,"The Standard, Bangkok Mahanakhon",32889782,
34,29 ספט,שלישי,בנגקוק,"The Standard, Bangkok Mahanakhon",32889782,
35,30 ספט,רביעי,בנגקוק,טיסת לילה הביתה,,
